timestamp,y_true,yhat,z_resid,silver_label
2019-08-11 22:00:00+00:00,40504.0,37919.15276786149,0.0,0
2019-08-18 14:00:00+00:00,45879.0,49191.36843190605,-0.7232830209784674,0
2019-08-19 06:00:00+00:00,61896.0,49902.84776626746,2.9062156197981057,1
2019-08-25 02:00:00+00:00,35362.0,36266.33958839391,-0.24863249247118882,0
2019-08-30 15:00:00+00:00,61208.0,60981.605751480536,0.006502797118502791,0
2019-09-03 19:00:00+00:00,55669.0,55881.69350943132,-0.07678642954279383,0
2019-09-09 05:00:00+00:00,59329.0,46743.835158757,2.620597587493725,1
2019-09-13 09:00:00+00:00,68212.0,67116.95151601594,0.1538571600957661,0
2019-09-23 13:00:00+00:00,64651.0,52357.233974367264,2.5312855523919824,1
2019-09-25 01:00:00+00:00,44036.0,43880.54137544434,-0.034182689907002024,0
2019-10-03 05:00:00+00:00,41818.0,58189.3498795265,-3.370452568170375,1
2019-10-03 06:00:00+00:00,44748.0,60569.98444575544,-3.197502517072069,1
2019-10-19 05:00:00+00:00,49252.0,60088.01447349678,-2.5476595269868634,1
2019-10-19 06:00:00+00:00,51258.0,62434.07345115136,-2.6085650198970733,1
2019-10-27 05:00:00+00:00,39428.0,52097.009866859415,-2.6031011490813194,1
2019-10-31 14:00:00+00:00,59906.0,64461.77399203735,-0.8785914350472845,0
2019-11-04 09:00:00+00:00,67832.0,55790.453009085584,2.5980042468958584,1
2019-11-04 12:00:00+00:00,67752.0,55124.46588037351,2.717316945534588,1
2019-11-04 13:00:00+00:00,67121.0,53925.907049038535,2.8259770217094204,1
2019-11-15 21:00:00+00:00,55432.0,56515.17525183617,-0.3469091246667796,0
2019-11-16 06:00:00+00:00,49389.0,61866.90046993884,-2.614256989199111,1
2019-11-25 07:00:00+00:00,69108.0,55986.10795753262,2.543472867771813,1
2019-11-30 06:00:00+00:00,50061.0,64807.13642987046,-2.8711378983502787,1
2019-12-13 08:00:00+00:00,73014.0,69928.68635941538,0.653290628245816,0
2019-12-13 21:00:00+00:00,57638.0,59876.27736609736,-0.41347559399340883,0
2019-12-16 06:00:00+00:00,67049.0,53998.4498486301,2.802613921441735,1
2019-12-22 08:00:00+00:00,48277.0,58983.29738124135,-2.7192316804078995,1
2020-01-02 07:00:00+00:00,56329.0,47020.471959818,3.321937357577102,1
2020-01-02 12:00:00+00:00,60272.0,51780.56470385184,2.850850473557119,1
2020-01-09 21:00:00+00:00,58188.0,54429.37383499479,0.718297578284334,0
2020-01-13 06:00:00+00:00,67426.0,51755.66437255707,3.243105616260509,1
2020-01-13 07:00:00+00:00,70335.0,54742.55472581228,3.170045937029222,1
2020-01-13 08:00:00+00:00,70635.0,57062.07471204735,2.7063718762716023,1
2020-01-18 05:00:00+00:00,48053.0,58282.121140887466,-2.5106848185157093,1
2020-01-23 07:00:00+00:00,71048.0,68822.21553055315,0.2958453355766135,0
2020-02-04 22:00:00+00:00,58047.0,55591.64582342032,0.4177194894881774,0
2020-02-10 03:00:00+00:00,47340.0,44972.24356645349,0.4150269221058202,0
2020-02-13 05:00:00+00:00,63267.0,61747.9299576273,0.26119970867478953,0
2020-02-13 16:00:00+00:00,72394.0,70105.62124297691,0.4079267199571687,0
2020-02-23 07:00:00+00:00,46073.0,58426.99651343732,-2.6484357023366347,1
2020-02-29 01:00:00+00:00,47202.0,47258.838447497605,-0.02416475165568917,0
2020-03-06 22:00:00+00:00,52810.0,53614.64548334903,-0.22377634396150065,0
2020-03-07 06:00:00+00:00,49675.0,62338.00254360416,-2.9734259160703647,1
2020-03-07 22:00:00+00:00,48062.0,51736.65711252727,-0.8192579808746336,0
2020-03-09 08:00:00+00:00,67738.0,55976.65255683032,2.5962016643040244,1
2020-03-10 05:00:00+00:00,63175.0,60715.471235551086,0.46434197751983974,0
2020-03-13 23:00:00+00:00,48091.0,51716.06624864471,-0.8376325426089265,0
2020-03-16 21:00:00+00:00,55259.0,50648.110795679546,0.9517242022419166,0
2020-04-07 00:00:00+00:00,41715.0,41495.67500377173,0.1443449741231537,0
2020-04-08 14:00:00+00:00,53662.0,52793.92680797226,0.24853806773027315,0
2020-04-10 05:00:00+00:00,36648.0,47322.984925204255,-3.1572071757423332,1
2020-04-10 07:00:00+00:00,42657.0,51799.60300529941,-2.624286352593201,1
2020-04-14 12:00:00+00:00,56487.0,46887.08841662376,2.7358194156947677,1
2020-04-14 13:00:00+00:00,54717.0,45628.15144668745,2.558408337284752,1
2020-04-19 10:00:00+00:00,49567.0,49753.514319382055,-0.13965882739532856,0
2020-04-20 06:00:00+00:00,57852.0,46483.21078739235,2.990078765393901,1
2020-04-20 10:00:00+00:00,63093.0,53098.8419763584,2.545001010524849,1
2020-04-20 11:00:00+00:00,62083.0,51417.41597032113,2.693341537988874,1
2020-04-22 23:00:00+00:00,43316.0,41387.8751457251,0.2977734748478132,0
2020-04-24 17:00:00+00:00,55214.0,53558.49559461113,0.19059155871857353,0
2020-04-30 01:00:00+00:00,41247.0,41579.837074692245,-0.3312316687340673,0
2020-05-01 05:00:00+00:00,36993.0,49212.76478741268,-3.3613621857342784,1
2020-05-01 06:00:00+00:00,39709.0,52244.12587965181,-3.3745516812979672,1
2020-05-01 07:00:00+00:00,43302.0,53470.737713204966,-2.7246766920309473,1
2020-05-04 13:00:00+00:00,59129.0,48287.04795051599,2.5371359392760815,1
2020-05-11 10:00:00+00:00,65687.0,54377.44977283873,2.6081304421870812,1
2020-05-12 15:00:00+00:00,57635.0,58159.96323188463,-0.19901783928072284,0
2020-05-15 10:00:00+00:00,61683.0,60542.51529843587,0.13043899158602126,0
2020-05-20 13:00:00+00:00,57025.0,57037.171814972506,-0.05606424918305582,0
2020-05-25 05:00:00+00:00,56471.0,42711.693913911215,2.9891377134991512,1
2020-05-25 08:00:00+00:00,62761.0,50799.40519304861,2.5866673906879556,1
2020-05-25 09:00:00+00:00,65569.0,52770.96909426496,2.7592595473866965,1
2020-05-25 11:00:00+00:00,63634.0,50772.26179790966,2.7595888985187718,1
2020-05-25 13:00:00+00:00,60210.0,47870.210732054045,2.652680805695121,1
2020-06-16 19:00:00+00:00,51810.0,50824.55176424173,0.13659875589184622,0
2020-06-18 11:00:00+00:00,62562.0,59887.42009196208,0.5070706911773737,0
2020-06-19 19:00:00+00:00,49539.0,49062.14176792544,0.020163791514898017,0
2020-06-20 02:00:00+00:00,36959.0,38902.37988147204,-0.5331795655273429,0
2020-06-22 06:00:00+00:00,60118.0,47346.55558396637,2.7791382898987136,1
2020-06-24 09:00:00+00:00,63961.0,63650.92743638941,-0.026478337237539548,0
2020-07-09 17:00:00+00:00,58509.0,57357.88687444972,0.21121877297271463,0
2020-07-11 06:00:00+00:00,45809.0,55798.94792271294,-2.6108165488398534,1
2020-07-19 17:00:00+00:00,45108.0,47669.8474535228,-0.5935932715037145,0
2020-07-21 03:00:00+00:00,43534.0,42889.418333518486,0.14748684290064185,0
2020-07-22 09:00:00+00:00,64641.0,62365.86173340696,0.5195566973115008,0
2020-07-27 00:00:00+00:00,36840.0,36415.53752443756,0.08790650414343926,0
2020-08-01 06:00:00+00:00,45798.0,55869.80262510689,-2.570736475185351,1
2020-08-10 05:00:00+00:00,55982.0,44244.12041251802,2.8902005307993024,1
2020-08-10 10:00:00+00:00,64287.0,53227.10792324572,2.616557058689673,1
2020-08-10 15:00:00+00:00,60981.0,49775.44167465013,2.578551459886956,1
2020-08-15 01:00:00+00:00,38763.0,39676.40841999125,-0.2594328581157057,0
2020-08-17 06:00:00+00:00,59448.0,47991.41086727475,2.564374069709818,1
2020-08-27 18:00:00+00:00,55664.0,57218.65021005106,-0.3336812320006567,0
2020-09-02 02:00:00+00:00,42365.0,41435.05185614946,0.1593471461838055,0
2020-09-07 21:00:00+00:00,45691.0,41054.97620847835,0.9441942864681028,0
2020-09-11 07:00:00+00:00,61009.0,59084.16816872257,0.34163845245425656,0
2020-09-14 05:00:00+00:00,56266.0,44818.28993032685,2.537306762797071,1
2020-09-22 02:00:00+00:00,43026.0,42928.29842395135,-0.037703908443852865,0
2020-09-30 01:00:00+00:00,44415.0,44051.28861902669,-0.008234804633688251,0
2020-09-30 12:00:00+00:00,64578.0,63427.55395941313,0.18294677839719173,0
