timestamp,strategy,reason,duration_s,ewma_z
2020-08-20 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0119
2020-08-20 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0168
2020-08-20 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0125
2020-08-20 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0118
2020-08-21 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.23,0.0105
2020-08-21 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0156
2020-08-21 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0149
2020-08-21 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.014
2020-08-22 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0134
2020-08-22 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0135
2020-08-22 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0155
2020-08-22 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0138
2020-08-23 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.01
2020-08-23 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0128
2020-08-23 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0148
2020-08-23 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0153
2020-08-24 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0136
2020-08-24 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0135
2020-08-24 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0119
2020-08-24 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0134
2020-08-25 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0169
2020-08-25 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0149
2020-08-25 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0113
2020-08-25 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0135
2020-08-26 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0122
2020-08-26 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0144
2020-08-26 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0115
2020-08-26 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.013
2020-08-27 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.24,0.0132
2020-08-27 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0128
2020-08-27 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0219
2020-08-27 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0147
2020-08-28 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0155
2020-08-28 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0228
2020-08-28 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0171
2020-08-28 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0138
2020-08-29 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0105
2020-08-29 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0113
2020-08-29 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0138
2020-08-29 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.012
2020-08-30 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0101
2020-08-30 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.016
2020-08-30 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0107
2020-08-30 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0123
2020-08-31 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0137
2020-08-31 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0202
2020-08-31 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0201
2020-08-31 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0143
2020-09-01 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0157
2020-09-01 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0151
2020-09-01 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.012
2020-09-01 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.014
2020-09-02 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0126
2020-09-02 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0127
2020-09-02 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.011
2020-09-02 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0126
2020-09-03 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0108
2020-09-03 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0122
2020-09-03 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0122
2020-09-03 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0141
2020-09-04 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0126
2020-09-04 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.011
2020-09-04 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0128
2020-09-04 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0168
2020-09-05 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0138
2020-09-05 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0099
2020-09-05 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0121
2020-09-05 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0117
2020-09-06 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0099
2020-09-06 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0131
2020-09-06 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0108
2020-09-06 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0107
2020-09-07 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0138
2020-09-07 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0182
2020-09-07 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0154
2020-09-07 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.015
2020-09-08 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0178
2020-09-08 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0163
2020-09-08 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0141
2020-09-08 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0149
2020-09-09 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0152
2020-09-09 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.23,0.0159
2020-09-09 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.23,0.0131
2020-09-09 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.24,0.013
2020-09-10 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0147
2020-09-10 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0138
2020-09-10 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0142
2020-09-10 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0144
2020-09-11 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0133
2020-09-11 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0153
2020-09-11 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0126
2020-09-11 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0164
2020-09-12 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0111
2020-09-12 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0142
2020-09-12 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0152
2020-09-12 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0153
2020-09-13 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0143
2020-09-13 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.13,0.0174
2020-09-13 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0164
2020-09-13 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.014
2020-09-14 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0175
2020-09-14 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0184
2020-09-14 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0136
2020-09-14 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0123
2020-09-15 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0154
2020-09-15 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0122
2020-09-15 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0106
2020-09-15 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0105
2020-09-16 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0146
2020-09-16 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0122
2020-09-16 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0119
2020-09-16 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0141
2020-09-17 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0196
2020-09-17 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0176
2020-09-17 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0168
2020-09-17 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0176
2020-09-18 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0139
2020-09-18 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0147
2020-09-18 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0111
2020-09-18 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0151
2020-09-19 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.011
2020-09-19 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0078
2020-09-19 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0109
2020-09-19 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0139
2020-09-20 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0121
2020-09-20 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0147
2020-09-20 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0135
2020-09-20 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0128
2020-09-21 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0169
2020-09-21 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0254
2020-09-21 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.022
2020-09-21 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.019
2020-09-22 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0187
2020-09-22 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0163
2020-09-22 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0138
2020-09-22 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0161
2020-09-23 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0176
2020-09-23 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0161
2020-09-23 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0158
2020-09-23 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0167
2020-09-24 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0211
2020-09-24 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0215
2020-09-24 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0162
2020-09-24 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0165
2020-09-25 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0148
2020-09-25 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0208
2020-09-25 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0158
2020-09-25 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.02
2020-09-26 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0142
2020-09-26 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0173
2020-09-26 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0223
2020-09-26 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0208
2020-09-27 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0143
2020-09-27 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0176
2020-09-27 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.3,0.0142
2020-09-27 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0143
2020-09-28 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.14,0.0134
2020-09-28 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0228
2020-09-28 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0206
2020-09-28 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0161
2020-09-29 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0157
2020-09-29 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.014
2020-09-29 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0122
2020-09-29 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0138
2020-09-30 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0146
2020-09-30 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0139
2020-09-30 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0135
2020-09-30 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0137
